entity_name,abbreviation,aliases,entity_type,irwm_region,notes,all_names,source
Cold Springs Rancheria of Mono Indians,Cold Springs Rancheria,Cold Springs Rancheria|Cold Springs Mono,Tribal Entity,San Joaquin River,FR; Fresno County,Cold Springs Rancheria of Mono Indians|Cold Springs Rancheria|Cold Springs Mono,BIA-Tribal|NAHC
Big Sandy Rancheria of Western Mono Indians,Big Sandy Rancheria,Big Sandy Rancheria|Big Sandy Mono,Tribal Entity,San Joaquin River,FR; Fresno County,Big Sandy Rancheria of Western Mono Indians|Big Sandy Rancheria|Big Sandy Mono,BIA-Tribal|NAHC
Santa Ynez Band of Chumash Indians,Santa Ynez Chumash,Santa Ynez Band of Chumash|Santa Ynez Chumash|Chumash Nation,Tribal Entity,Central Coast,FR; Santa Barbara County; active in Santa Ynez River water governance,Santa Ynez Band of Chumash Indians|Santa Ynez Chumash|Santa Ynez Band of Chumash|Chumash Nation,BIA-Tribal|NAHC
Esselen Tribe of Monterey County,Esselen Tribe,Esselen Tribe|Ohlone/Costanoan-Esselen Nation|Esselen Nation,Tribal Entity,Greater Monterey County|Central Coast,NFR; active in Central Coast stream and groundwater stewardship,Esselen Tribe of Monterey County|Esselen Tribe|Ohlone/Costanoan-Esselen Nation|Esselen Nation,BIA-Tribal|NAHC
San Manuel Band of Mission Indians,San Manuel,San Manuel Band|San Manuel Band of Serrano Mission Indians,Tribal Entity,Inland Empire|Santa Ana Watershed,FR; San Bernardino County; active in Santa Ana Watershed IRWM,San Manuel Band of Mission Indians|San Manuel|San Manuel Band|San Manuel Band of Serrano Mission Indians,BIA-Tribal|NAHC
Morongo Band of Mission Indians,Morongo,Morongo Band|Morongo Band of Cahuilla Mission Indians,Tribal Entity,Inland Empire|Coachella Valley,FR; Riverside/San Bernardino counties; Whitewater River watershed,Morongo Band of Mission Indians|Morongo|Morongo Band|Morongo Band of Cahuilla Mission Indians,BIA-Tribal|NAHC
Soboba Band of Luiseno Indians,Soboba Band,Soboba Band|Soboba Luiseno|Soboba Reservation,Tribal Entity,Inland Empire|Santa Ana Watershed,FR; Riverside County,Soboba Band of Luiseno Indians|Soboba Band|Soboba Luiseno|Soboba Reservation,BIA-Tribal|NAHC
Cabazon Band of Mission Indians,Cabazon Band,Cabazon Band|Cabazon Band of Cahuilla Indians,Tribal Entity,Coachella Valley,FR; Riverside County; Coachella Valley groundwater,Cabazon Band of Mission Indians|Cabazon Band|Cabazon Band of Cahuilla Indians,BIA-Tribal|NAHC
Agua Caliente Band of Cahuilla Indians,Agua Caliente,Agua Caliente Band|Agua Caliente Cahuilla|Agua Caliente Tribe,Tribal Entity,Coachella Valley,FR; landmark water rights case (Agua Caliente v. Coachella Valley Water District) involving Coachella Valley groundwater,Agua Caliente Band of Cahuilla Indians|Agua Caliente|Agua Caliente Band|Agua Caliente Cahuilla|Agua Caliente Tribe,BIA-Tribal|NAHC
Pechanga Band of Luiseno Indians,Pechanga,Pechanga Band|Pechanga Luiseno|Pechanga Reservation,Tribal Entity,Inland Empire|Santa Ana Watershed,FR; Riverside County,Pechanga Band of Luiseno Indians|Pechanga|Pechanga Band|Pechanga Luiseno|Pechanga Reservation,BIA-Tribal|NAHC
Fernandeño Tataviam Band of Mission Indians,Fernandeño Tataviam,Fernandeño Tataviam|Tataviam Nation|San Fernando Mission Tribe,Tribal Entity,Greater Los Angeles County|South Coast,NFR; active in Los Angeles River restoration and water governance,Fernandeño Tataviam Band of Mission Indians|Fernandeño Tataviam|Tataviam Nation|San Fernando Mission Tribe,BIA-Tribal|NAHC
Tongva Nation,Tongva,Tongva|Gabrielino-Tongva|Tongva Nation|Gabrielino Nation|Kizh Nation|Gabrielino-Tongva Tribe,Tribal Entity,Greater Los Angeles County|South Coast,NFR; original inhabitants of LA Basin; active in LA River and groundwater discussions,Tongva Nation|Tongva|Gabrielino-Tongva|Gabrielino Nation|Kizh Nation|Gabrielino-Tongva Tribe,BIA-Tribal|NAHC
Rincon Band of Luiseno Mission Indians,Rincon Band,Rincon Band|Rincon Luiseno|Rincon Reservation,Tribal Entity,San Diego,FR; San Diego County; active in San Luis Rey River water rights,Rincon Band of Luiseno Mission Indians|Rincon Band|Rincon Luiseno|Rincon Reservation,BIA-Tribal|NAHC
Pala Band of Mission Indians,Pala Band,Pala Band|Pala Reservation|Pala Mission Indians,Tribal Entity,San Diego,FR; San Diego County,Pala Band of Mission Indians|Pala Band|Pala Reservation|Pala Mission Indians,BIA-Tribal|NAHC
La Jolla Band of Luiseno Indians,La Jolla Band,La Jolla Band|La Jolla Luiseno,Tribal Entity,San Diego,FR; San Diego County,La Jolla Band of Luiseno Indians|La Jolla Band|La Jolla Luiseno,BIA-Tribal|NAHC
Pauma Band of Mission Indians,Pauma Band,Pauma Band|Pauma Valley|Yuima Reservation,Tribal Entity,San Diego,FR; San Diego County,Pauma Band of Mission Indians|Pauma Band|Pauma Valley|Yuima Reservation,BIA-Tribal|NAHC
Sycuan Band of the Kumeyaay Nation,Sycuan,Sycuan Band|Sycuan Kumeyaay,Tribal Entity,San Diego|South Bay,FR; San Diego County,Sycuan Band of the Kumeyaay Nation|Sycuan|Sycuan Band|Sycuan Kumeyaay,BIA-Tribal|NAHC
Viejas Band of Kumeyaay Indians,Viejas,Viejas Band|Viejas Kumeyaay,Tribal Entity,San Diego,FR; San Diego County,Viejas Band of Kumeyaay Indians|Viejas|Viejas Band|Viejas Kumeyaay,BIA-Tribal|NAHC
Campo Band of Kumeyaay Indians,Campo Band,Campo Band|Campo Kumeyaay,Tribal Entity,San Diego,FR; San Diego County,Campo Band of Kumeyaay Indians|Campo Band|Campo Kumeyaay,BIA-Tribal|NAHC
Jamul Indian Village,Jamul,Jamul Indian Village|Jamul Kumeyaay,Tribal Entity,San Diego,FR; San Diego County,Jamul Indian Village|Jamul|Jamul Kumeyaay,BIA-Tribal|NAHC
Quechan Tribe of the Fort Yuma Reservation,Quechan Tribe,Quechan Tribe|Fort Yuma Tribe|Yuma Tribe,Tribal Entity,Imperial,FR; Imperial County; Colorado River water rights,Quechan Tribe of the Fort Yuma Reservation|Quechan Tribe|Fort Yuma Tribe|Yuma Tribe,BIA-Tribal|NAHC
Chemehuevi Indian Tribe,Chemehuevi,Chemehuevi Indian Tribe|Chemehuevi Tribe,Tribal Entity,Lahontan Basin|Mojave,FR; San Bernardino County; Lake Havasu / Colorado River,Chemehuevi Indian Tribe|Chemehuevi|Chemehuevi Tribe,BIA-Tribal|NAHC
Bishop Paiute Tribe,Bishop Paiute,Bishop Paiute Tribe|Bishop Indian Tribe,Tribal Entity,Inyo-Mono,FR; Inyo County; Owens Valley water rights,Bishop Paiute Tribe|Bishop Paiute|Bishop Indian Tribe,BIA-Tribal|NAHC
Big Pine Paiute Tribe of the Owens Valley,Big Pine Paiute,Big Pine Paiute Tribe|Big Pine Tribe,Tribal Entity,Inyo-Mono,FR; Inyo County,Big Pine Paiute Tribe of the Owens Valley|Big Pine Paiute|Big Pine Paiute Tribe|Big Pine Tribe,BIA-Tribal|NAHC
Lone Pine Paiute-Shoshone Tribe,Lone Pine Paiute-Shoshone,Lone Pine Paiute-Shoshone Tribe|Lone Pine Reservation,Tribal Entity,Inyo-Mono,FR; Inyo County,Lone Pine Paiute-Shoshone Tribe|Lone Pine Paiute-Shoshone|Lone Pine Reservation,BIA-Tribal|NAHC
Bridgeport Paiute Indian Colony,Bridgeport Paiute,Bridgeport Paiute|Bridgeport Paiute Indian Colony|Mono Lake Kutzadika,Tribal Entity,Inyo-Mono,FR; Mono County; Mono Lake and Walker River watershed,Bridgeport Paiute Indian Colony|Bridgeport Paiute|Mono Lake Kutzadika,BIA-Tribal|NAHC
Humboldt County Resource Conservation District,Humboldt RCD,Humboldt County RCD|Humboldt RCD,Resource Conservation District,North Coast,,Humboldt County Resource Conservation District|Humboldt RCD|Humboldt County RCD,NRCS-RCD
Del Norte Resource Conservation District,Del Norte RCD,Del Norte County RCD|Del Norte RCD,Resource Conservation District,North Coast,,Del Norte Resource Conservation District|Del Norte RCD|Del Norte County RCD,NRCS-RCD
Trinity County Resource Conservation District,Trinity RCD,Trinity County RCD|Trinity RCD,Resource Conservation District,North Coast|Klamath Basin,,Trinity County Resource Conservation District|Trinity RCD|Trinity County RCD,NRCS-RCD
Siskiyou County Resource Conservation District,Siskiyou RCD,Siskiyou County RCD|Siskiyou RCD,Resource Conservation District,Klamath Basin|North Sacramento Valley,,Siskiyou County Resource Conservation District|Siskiyou RCD|Siskiyou County RCD,NRCS-RCD
Marin Resource Conservation District,Marin RCD,Marin County RCD|Marin RCD,Resource Conservation District,North Bay,,Marin Resource Conservation District|Marin RCD|Marin County RCD,NRCS-RCD
Sonoma Resource Conservation District,Sonoma RCD,Sonoma County RCD|Sonoma RCD,Resource Conservation District,North Bay|Russian River,,Sonoma Resource Conservation District|Sonoma RCD|Sonoma County RCD,NRCS-RCD
Mendocino County Resource Conservation District,Mendocino RCD,Mendocino County RCD|Mendocino RCD,Resource Conservation District,North Coast|Russian River,,Mendocino County Resource Conservation District|Mendocino RCD|Mendocino County RCD,NRCS-RCD
Lake County Resource Conservation District,Lake County RCD,Lake County RCD,Resource Conservation District,Russian River,,Lake County Resource Conservation District|Lake County RCD,NRCS-RCD
Napa County Resource Conservation District,Napa RCD,Napa County RCD|Napa RCD,Resource Conservation District,North Bay,,Napa County Resource Conservation District|Napa RCD|Napa County RCD,NRCS-RCD
Tehama County Resource Conservation District,Tehama RCD,Tehama County RCD|Tehama RCD,Resource Conservation District,North Sacramento Valley,,Tehama County Resource Conservation District|Tehama RCD|Tehama County RCD,NRCS-RCD
Glenn County Resource Conservation District,Glenn RCD,Glenn County RCD|Glenn RCD,Resource Conservation District,North Sacramento Valley,,Glenn County Resource Conservation District|Glenn RCD|Glenn County RCD,NRCS-RCD
Colusa County Resource Conservation District,Colusa RCD,Colusa County RCD|Colusa RCD,Resource Conservation District,North Sacramento Valley,,Colusa County Resource Conservation District|Colusa RCD|Colusa County RCD,NRCS-RCD
Shasta County Resource Conservation District,Shasta RCD,Shasta County RCD|Shasta RCD,Resource Conservation District,North Sacramento Valley,,Shasta County Resource Conservation District|Shasta RCD|Shasta County RCD,NRCS-RCD
Yolo County Resource Conservation District,Yolo RCD,Yolo County RCD|Yolo RCD,Resource Conservation District,Sacramento Valley,,Yolo County Resource Conservation District|Yolo RCD|Yolo County RCD,NRCS-RCD
Sacramento County Resource Conservation District,Sacramento RCD,Sacramento County RCD|Sacramento RCD,Resource Conservation District,North Sacramento Valley,,Sacramento County Resource Conservation District|Sacramento RCD|Sacramento County RCD,NRCS-RCD
Solano County Resource Conservation District,Solano RCD,Solano County RCD|Solano RCD,Resource Conservation District,Sacramento Valley|Bay Area,,Solano County Resource Conservation District|Solano RCD|Solano County RCD,NRCS-RCD
Contra Costa Resource Conservation District,Contra Costa RCD,Contra Costa County RCD|Contra Costa RCD,Resource Conservation District,East Bay|East Contra Costa County,,Contra Costa Resource Conservation District|Contra Costa RCD|Contra Costa County RCD,NRCS-RCD
Alameda County Resource Conservation District,Alameda RCD,Alameda County RCD|Alameda RCD,Resource Conservation District,East Bay,,Alameda County Resource Conservation District|Alameda RCD|Alameda County RCD,NRCS-RCD
North Santa Clara Resource Conservation District,North Santa Clara RCD,North Santa Clara RCD|Santa Clara RCD|Santa Clara County RCD|Santa Clara Valley RCD,Resource Conservation District,Santa Clara Valley,Renamed from Santa Clara Valley RCD in 2022,North Santa Clara Resource Conservation District|North Santa Clara RCD|Santa Clara RCD|Santa Clara County RCD|Santa Clara Valley RCD,NRCS-RCD
San Mateo Resource Conservation District,San Mateo RCD,San Mateo County RCD|San Mateo RCD,Resource Conservation District,Bay Area,,San Mateo Resource Conservation District|San Mateo RCD|San Mateo County RCD,NRCS-RCD
Resource Conservation District of Santa Cruz County,RCD of Santa Cruz,Santa Cruz County RCD|Santa Cruz RCD|RCD of Santa Cruz County,Resource Conservation District,Santa Cruz|Pajaro River Watershed,,Resource Conservation District of Santa Cruz County|RCD of Santa Cruz|Santa Cruz County RCD|Santa Cruz RCD|RCD of Santa Cruz County,NRCS-RCD
Monterey County Resource Conservation District,Monterey RCD,Monterey County RCD|Monterey RCD,Resource Conservation District,Greater Monterey County|Salinas Valley|Monterey Peninsula/Carmel Bay/South Monterey,,Monterey County Resource Conservation District|Monterey RCD|Monterey County RCD,NRCS-RCD
San Luis Obispo County Resource Conservation District,SLO RCD,San Luis Obispo RCD|SLO County RCD|SLO RCD,Resource Conservation District,Central Coast,,San Luis Obispo County Resource Conservation District|SLO RCD|San Luis Obispo RCD|SLO County RCD,NRCS-RCD
Santa Barbara County Resource Conservation District,Santa Barbara RCD,Santa Barbara County RCD|Santa Barbara RCD,Resource Conservation District,Central Coast,,Santa Barbara County Resource Conservation District|Santa Barbara RCD|Santa Barbara County RCD,NRCS-RCD
Ventura Resource Conservation District,Ventura RCD,Ventura County RCD|Ventura RCD,Resource Conservation District,Ventura County|South Coast,,Ventura Resource Conservation District|Ventura RCD|Ventura County RCD,NRCS-RCD
Los Angeles County Resource Conservation District,LA County RCD,LA County RCD|Los Angeles County RCD,Resource Conservation District,Greater Los Angeles County,,Los Angeles County Resource Conservation District|LA County RCD|Los Angeles County RCD,NRCS-RCD
Inland Empire Resource Conservation District,IERCD,Inland Empire RCD|IERCD,Resource Conservation District,Inland Empire|Santa Ana Watershed,,Inland Empire Resource Conservation District|IERCD|Inland Empire RCD,NRCS-RCD
Riverside-Corona Resource Conservation District,RCRCD,Riverside-Corona RCD|RCRCD,Resource Conservation District,Inland Empire|Santa Ana Watershed,,Riverside-Corona Resource Conservation District|RCRCD|Riverside-Corona RCD,NRCS-RCD
San Diego Resource Conservation District,San Diego RCD,San Diego County RCD|San Diego RCD,Resource Conservation District,San Diego,,San Diego Resource Conservation District|San Diego RCD|San Diego County RCD,NRCS-RCD
San Joaquin County Resource Conservation District,San Joaquin RCD,San Joaquin County RCD|San Joaquin RCD,Resource Conservation District,Eastern San Joaquin,,San Joaquin County Resource Conservation District|San Joaquin RCD|San Joaquin County RCD,NRCS-RCD
Stanislaus County Resource Conservation District,Stanislaus RCD,Stanislaus County RCD|Stanislaus RCD,Resource Conservation District,East Stanislaus,,Stanislaus County Resource Conservation District|Stanislaus RCD|Stanislaus County RCD,NRCS-RCD
Merced County Resource Conservation District,Merced RCD,Merced County RCD|Merced RCD,Resource Conservation District,Merced,,Merced County Resource Conservation District|Merced RCD|Merced County RCD,NRCS-RCD
Madera and Chowchilla Resource Conservation District,Madera RCD,Madera Chowchilla RCD|Madera RCD|Madera and Chowchilla RCD,Resource Conservation District,Madera|San Joaquin River,,Madera and Chowchilla Resource Conservation District|Madera RCD|Madera Chowchilla RCD|Madera and Chowchilla RCD,NRCS-RCD
Fresno County Resource Conservation District,Fresno RCD,Fresno County RCD|Fresno RCD,Resource Conservation District,San Joaquin River,,Fresno County Resource Conservation District|Fresno RCD|Fresno County RCD,NRCS-RCD
Kings County Resource Conservation District,Kings RCD,Kings County RCD|Kings RCD,Resource Conservation District,Kings Basin,,Kings County Resource Conservation District|Kings RCD|Kings County RCD,NRCS-RCD
Tulare County Resource Conservation District,Tulare County RCD,Tulare County RCD|Tulare RCD,Resource Conservation District,Kaweah River Basin|Tulare Lake,,Tulare County Resource Conservation District|Tulare County RCD|Tulare RCD,NRCS-RCD
Tulare Lake Resource Conservation District,Tulare Lake RCD,Tulare Lake RCD,Resource Conservation District,Tulare Lake,,Tulare Lake Resource Conservation District|Tulare Lake RCD,NRCS-RCD
Kern County Resource Conservation District,Kern RCD,Kern County RCD|Kern RCD,Resource Conservation District,Kern County,,Kern County Resource Conservation District|Kern RCD|Kern County RCD,NRCS-RCD
Butte County Resource Conservation District,Butte RCD,Butte County RCD|Butte RCD,Resource Conservation District,Feather River,,Butte County Resource Conservation District|Butte RCD|Butte County RCD,NRCS-RCD
Plumas County Resource Conservation District,Plumas RCD,Plumas County RCD|Plumas RCD,Resource Conservation District,Feather River,,Plumas County Resource Conservation District|Plumas RCD|Plumas County RCD,NRCS-RCD
Nevada County Resource Conservation District,Nevada County RCD,Nevada County RCD|Nevada RCD,Resource Conservation District,CABY|American River Basin,,Nevada County Resource Conservation District|Nevada County RCD|Nevada RCD,NRCS-RCD
Placer County Resource Conservation District,Placer RCD,Placer County RCD|Placer RCD,Resource Conservation District,American River Basin|CABY,,Placer County Resource Conservation District|Placer RCD|Placer County RCD,NRCS-RCD
El Dorado County Resource Conservation District,El Dorado RCD,El Dorado County RCD|El Dorado RCD,Resource Conservation District,El Dorado|CABY,,El Dorado County Resource Conservation District|El Dorado RCD|El Dorado County RCD,NRCS-RCD
Sierra Resource Conservation District,Sierra RCD,Sierra County RCD|Sierra RCD,Resource Conservation District,Feather River,,Sierra Resource Conservation District|Sierra RCD|Sierra County RCD,NRCS-RCD
California State Association of Counties,CSAC,CSAC|California Association of Counties|CA Association of Counties,Local Government,Statewide,,California State Association of Counties|CSAC|California Association of Counties|CA Association of Counties,LOCAL
Humboldt County,Humboldt County,County of Humboldt|Humboldt County Department of Public Works,Local Government,North Coast,,Humboldt County|County of Humboldt|Humboldt County Department of Public Works,LOCAL
Del Norte County,Del Norte County,County of Del Norte,Local Government,North Coast,,Del Norte County|County of Del Norte,LOCAL
Trinity County,Trinity County,County of Trinity,Local Government,North Coast|Klamath Basin,,Trinity County|County of Trinity,LOCAL
Siskiyou County,Siskiyou County,County of Siskiyou,Local Government,Klamath Basin|North Sacramento Valley,,Siskiyou County|County of Siskiyou,LOCAL
Marin County,Marin County,County of Marin|Marin County Department of Public Works,Local Government,North Bay,,Marin County|County of Marin|Marin County Department of Public Works,LOCAL
Sonoma County,Sonoma County,County of Sonoma|Sonoma County Public Works,Local Government,North Bay|Russian River,,Sonoma County|County of Sonoma|Sonoma County Public Works,LOCAL
Napa County,Napa County,County of Napa|Napa County Flood Control,Local Government,North Bay,,Napa County|County of Napa|Napa County Flood Control,LOCAL
Mendocino County,Mendocino County,County of Mendocino,Local Government,North Coast|Russian River,,Mendocino County|County of Mendocino,LOCAL
Alameda County,Alameda County,County of Alameda|Alameda County Public Works,Local Government,East Bay,,Alameda County|County of Alameda|Alameda County Public Works,LOCAL
Contra Costa County,Contra Costa County,County of Contra Costa|Contra Costa County Public Works,Local Government,East Bay|East Contra Costa County,,Contra Costa County|County of Contra Costa|Contra Costa County Public Works,LOCAL
Solano County,Solano County,County of Solano,Local Government,Bay Area|Sacramento Valley,,Solano County|County of Solano,LOCAL
San Mateo County,San Mateo County,County of San Mateo,Local Government,Bay Area,,San Mateo County|County of San Mateo,LOCAL
Santa Clara County,Santa Clara County,County of Santa Clara,Local Government,Santa Clara Valley,,Santa Clara County|County of Santa Clara,LOCAL
Santa Cruz County,Santa Cruz County,County of Santa Cruz,Local Government,Santa Cruz|Pajaro River Watershed,,Santa Cruz County|County of Santa Cruz,LOCAL
Monterey County,Monterey County,County of Monterey,Local Government,Greater Monterey County|Salinas Valley|Monterey Peninsula/Carmel Bay/South Monterey,,Monterey County|County of Monterey,LOCAL
San Luis Obispo County,San Luis Obispo County,County of San Luis Obispo|SLO County,Local Government,Central Coast,,San Luis Obispo County|County of San Luis Obispo|SLO County,LOCAL
Santa Barbara County,Santa Barbara County,County of Santa Barbara,Local Government,Central Coast,,Santa Barbara County|County of Santa Barbara,LOCAL
Sacramento County,Sacramento County,County of Sacramento|Sacramento County Water Agency,Local Government,North Sacramento Valley,,Sacramento County|County of Sacramento|Sacramento County Water Agency,LOCAL
Yolo County,Yolo County,County of Yolo|Yolo County Flood Control,Local Government,Sacramento Valley,,Yolo County|County of Yolo|Yolo County Flood Control,LOCAL
Sutter County,Sutter County,County of Sutter,Local Government,North Sacramento Valley|Feather River,,Sutter County|County of Sutter,LOCAL
Colusa County,Colusa County,County of Colusa,Local Government,North Sacramento Valley,,Colusa County|County of Colusa,LOCAL
Glenn County,Glenn County,County of Glenn,Local Government,North Sacramento Valley,,Glenn County|County of Glenn,LOCAL
Tehama County,Tehama County,County of Tehama,Local Government,North Sacramento Valley,,Tehama County|County of Tehama,LOCAL
Shasta County,Shasta County,County of Shasta,Local Government,North Sacramento Valley,,Shasta County|County of Shasta,LOCAL
Butte County,Butte County,County of Butte,Local Government,Feather River,,Butte County|County of Butte,LOCAL
Plumas County,Plumas County,County of Plumas,Local Government,Feather River,,Plumas County|County of Plumas,LOCAL
Nevada County,Nevada County,County of Nevada,Local Government,CABY|American River Basin,,Nevada County|County of Nevada,LOCAL
Placer County,Placer County,County of Placer,Local Government,American River Basin|CABY,,Placer County|County of Placer,LOCAL
El Dorado County,El Dorado County,County of El Dorado,Local Government,El Dorado|CABY,,El Dorado County|County of El Dorado,LOCAL
Amador County,Amador County,County of Amador,Local Government,Mokelumne/Amador/Calaveras,,Amador County|County of Amador,LOCAL
Calaveras County,Calaveras County,County of Calaveras,Local Government,Mokelumne/Amador/Calaveras,,Calaveras County|County of Calaveras,LOCAL
Tuolumne County,Tuolumne County,County of Tuolumne,Local Government,Mokelumne/Amador/Calaveras,,Tuolumne County|County of Tuolumne,LOCAL
Mariposa County,Mariposa County,County of Mariposa,Local Government,San Joaquin River,,Mariposa County|County of Mariposa,LOCAL
Mono County,Mono County,County of Mono,Local Government,Inyo-Mono,,Mono County|County of Mono,LOCAL
Inyo County,Inyo County,County of Inyo,Local Government,Inyo-Mono,,Inyo County|County of Inyo,LOCAL
San Joaquin County,San Joaquin County,County of San Joaquin,Local Government,Eastern San Joaquin,,San Joaquin County|County of San Joaquin,LOCAL
Stanislaus County,Stanislaus County,County of Stanislaus,Local Government,East Stanislaus,,Stanislaus County|County of Stanislaus,LOCAL
Merced County,Merced County,County of Merced,Local Government,Merced,,Merced County|County of Merced,LOCAL
Madera County,Madera County,County of Madera,Local Government,Madera|San Joaquin River,,Madera County|County of Madera,LOCAL
Fresno County,Fresno County,County of Fresno,Local Government,San Joaquin River,,Fresno County|County of Fresno,LOCAL
Kings County,Kings County,County of Kings,Local Government,Kings Basin,,Kings County|County of Kings,LOCAL
Tulare County,Tulare County,County of Tulare,Local Government,Kaweah River Basin|Tulare Lake,,Tulare County|County of Tulare,LOCAL
Kern County,Kern County,County of Kern,Local Government,Kern County|Antelope Valley,,Kern County|County of Kern,LOCAL
Ventura County,Ventura County,County of Ventura|Ventura County Watershed Protection District,Local Government,Ventura County|South Coast,,Ventura County|County of Ventura|Ventura County Watershed Protection District,LOCAL
Los Angeles County,LA County,County of Los Angeles|Los Angeles County|LA County DPW,Local Government,Greater Los Angeles County|San Gabriel Valley|South Coast,,Los Angeles County|LA County|County of Los Angeles|LA County DPW,LOCAL
Orange County,Orange County,County of Orange,Local Government,Orange County|Santa Ana Watershed,,Orange County|County of Orange,LOCAL
Riverside County,Riverside County,County of Riverside,Local Government,Inland Empire|Coachella Valley|Santa Ana Watershed,,Riverside County|County of Riverside,LOCAL
San Bernardino County,San Bernardino County,County of San Bernardino|San Bernardino County Flood Control,Local Government,Inland Empire|Mojave|Antelope Valley|Santa Ana Watershed,,San Bernardino County|County of San Bernardino|San Bernardino County Flood Control,LOCAL
San Diego County,San Diego County,County of San Diego,Local Government,San Diego|South Bay,,San Diego County|County of San Diego,LOCAL
Imperial County,Imperial County,County of Imperial,Local Government,Imperial|Salton Sea,,Imperial County|County of Imperial,LOCAL
City of Los Angeles,City of LA,City of Los Angeles|LA City|Los Angeles|City of LA,Local Government,Greater Los Angeles County|South Coast,"LADWP, Bureau of Sanitation, Bureau of Engineering are key city departments in IRWM",City of Los Angeles|City of LA|LA City|Los Angeles,LOCAL
City of Sacramento,City of Sacramento,City of Sacramento|Sacramento City,Local Government,North Sacramento Valley,,City of Sacramento|Sacramento City,LOCAL
City of San Diego,City of San Diego,City of San Diego|San Diego City,Local Government,San Diego,,City of San Diego|San Diego City,LOCAL
City of San Jose,City of San Jose,City of San Jose|San Jose|San Jose City,Local Government,Santa Clara Valley,,City of San Jose|San Jose|San Jose City,LOCAL
City of Fresno,City of Fresno,City of Fresno|Fresno City,Local Government,San Joaquin River,,City of Fresno|Fresno City,LOCAL
City of Bakersfield,City of Bakersfield,City of Bakersfield|Bakersfield City,Local Government,Kern County,,City of Bakersfield|Bakersfield City,LOCAL
City of Stockton,City of Stockton,City of Stockton|Stockton City,Local Government,Eastern San Joaquin,,City of Stockton|Stockton City,LOCAL
City of Modesto,City of Modesto,City of Modesto|Modesto City,Local Government,East Stanislaus,,City of Modesto|Modesto City,LOCAL
City of Riverside,City of Riverside,City of Riverside|Riverside City,Local Government,Inland Empire|Santa Ana Watershed,,City of Riverside|Riverside City,LOCAL
City of San Bernardino,City of San Bernardino,City of San Bernardino|San Bernardino City,Local Government,Inland Empire|Santa Ana Watershed,,City of San Bernardino|San Bernardino City,LOCAL
City of Long Beach,City of Long Beach,City of Long Beach|Long Beach City|Long Beach Water Department,Local Government,Greater Los Angeles County|South Coast,,City of Long Beach|Long Beach City|Long Beach Water Department,LOCAL
City of Santa Ana,City of Santa Ana,City of Santa Ana|Santa Ana City,Local Government,Santa Ana Watershed|Orange County,,City of Santa Ana|Santa Ana City,LOCAL
City of Anaheim,City of Anaheim,City of Anaheim|Anaheim City|Anaheim Public Utilities,Local Government,Orange County|Santa Ana Watershed,,City of Anaheim|Anaheim City|Anaheim Public Utilities,LOCAL
City of Oxnard,City of Oxnard,City of Oxnard|Oxnard City,Local Government,Ventura County|South Coast,,City of Oxnard|Oxnard City,LOCAL
City of Santa Barbara,City of Santa Barbara,City of Santa Barbara|Santa Barbara City,Local Government,Central Coast,,City of Santa Barbara|Santa Barbara City,LOCAL
City of San Luis Obispo,City of San Luis Obispo,City of San Luis Obispo|SLO City,Local Government,Central Coast,,City of San Luis Obispo|SLO City,LOCAL
City of Monterey,City of Monterey,City of Monterey|Monterey City,Local Government,Greater Monterey County|Monterey Peninsula/Carmel Bay/South Monterey,,City of Monterey|Monterey City,LOCAL
City of Santa Cruz,City of Santa Cruz,City of Santa Cruz|Santa Cruz City,Local Government,Santa Cruz,,City of Santa Cruz|Santa Cruz City,LOCAL
City of Chico,City of Chico,City of Chico|Chico City,Local Government,Feather River,,City of Chico|Chico City,LOCAL
City of Redding,City of Redding,City of Redding|Redding City,Local Government,North Sacramento Valley,,City of Redding|Redding City,LOCAL
City of Eureka,City of Eureka,City of Eureka|Eureka City,Local Government,North Coast,,City of Eureka|Eureka City,LOCAL
City of Coachella,City of Coachella,City of Coachella|Coachella City,Local Government,Coachella Valley,,City of Coachella|Coachella City,LOCAL
City of Palm Springs,City of Palm Springs,City of Palm Springs|Palm Springs City,Local Government,Coachella Valley,,City of Palm Springs|Palm Springs City,LOCAL
City of El Centro,City of El Centro,City of El Centro|El Centro City,Local Government,Imperial,,City of El Centro|El Centro City,LOCAL
Santa Clarita Valley Water Agency,SCVWA,Santa Clarita WA|Santa Clarita Water Agency|SCV Water,Water Authority / Wholesaler,Greater Los Angeles County,SWP Table A contractor; formed 2018 from Castaic Lake WA + Newhall County WD,Santa Clarita Valley Water Agency|SCVWA|Santa Clarita WA|Santa Clarita Water Agency|SCV Water,DWR-IRWM|DWR-SWP
Crestline-Lake Arrowhead Water Agency,CLAWA,Crestline Lake Arrowhead WA|Crestline-Lake Arrowhead,Water District,Inland Empire,SWP Table A contractor; San Bernardino Mountains communities; receives SWP via East Branch,Crestline-Lake Arrowhead Water Agency|CLAWA|Crestline Lake Arrowhead WA|Crestline-Lake Arrowhead,DWR-SWP
Dudley Ridge Water District,DRWD,Dudley Ridge WD|Dudley Ridge,Water District,San Joaquin River,SWP Table A contractor (agricultural); Kings County; westside San Joaquin Valley,Dudley Ridge Water District|DRWD|Dudley Ridge WD|Dudley Ridge,DWR-SWP
